,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,H58,H59,H60,H61,H62,H63,H64,H65,H66,H67,H68,H69,H70,H71,H72,H73,H74,H75,H76,H77,H78,H79,H80,H81,H82,H83,H84,H85,H86,H87,H88,H89,H90,H91,H92,H93,H94
0,0,0,0,0,14,0,19,0,268,0,0,0,0,0,0,588,292,0,0,83,0,0,0,0,0,0,71,0,0,0,199,0,0,0,0,0,0,0,0,0,0,194,60,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,22,305,484,0,54,0,0,0,0,0,58,0,0,0,0,10,185,0,0,0,0,23,307,0,1418,406,107,0,0,0,0,236,0,0,0
1,395,0,0,34,0,31,341,344,0,0,0,0,198,0,0,0,0,0,0,18,0,97,0,650,85,24,0,0,0,163,0,216,154,24,0,0,0,0,0,0,47,0,0,0,0,0,297,0,0,0,0,0,0,0,14,0,344,0,353,736,10,212,179,0,0,0,0,68,81,523,0,43,0,0,0,470,14,0,0,10,12,0,68,0,0,0,0,0,0,0,0,367,0,75,0
2,0,0,0,11,0,550,0,80,0,0,0,0,0,260,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,186,0,65,0,0,0,0,0,167,0,167,0,0,0,0,67,0,0,0,17,0,1749,0,53,0,39,0,0,0,174,0,0,0,0,0,15,366,0,0,0,25,0,0,0,0,0,0,0,0,10,237,160,0,834,0,0,0,0,0,0,0,0,0,12,628,0
3,0,0,0,0,0,0,0,0,0,330,231,0,10,0,99,0,44,135,0,0,0,524,103,0,0,0,0,0,84,0,0,0,0,0,0,0,341,59,0,124,0,0,0,0,83,0,0,207,0,0,0,0,16,744,317,50,0,639,0,0,0,0,0,0,0,739,0,784,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
4,100,497,0,0,137,137,94,0,0,12,0,0,41,0,10,0,0,0,0,13,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,12,377,0,135,213,0,0,189,0,0,0,0,38,15,0,0,210,0,0,0,0,0,0,0,14,23,0,0,0,90,0,0,0,0,12,0,0,0,0,0,13,11,82,48,107,0,0,18,2048,0,0,0,0,0,0,0,139,0,0,43
5,66,188,0,56,0,0,10,0,0,130,54,1079,71,0,0,45,0,0,0,0,0,24,138,19,0,78,26,0,0,15,0,0,0,0,176,0,0,14,110,0,34,0,0,0,0,0,332,0,70,0,0,0,0,54,0,0,0,0,0,0,0,0,0,764,75,0,503,0,0,0,128,0,0,0,35,0,0,0,134,0,0,0,0,0,271,0,65,0,47,494,0,0,0,0,70
6,0,0,621,0,0,0,0,0,36,0,557,0,0,43,0,0,0,0,20,0,36,0,0,0,0,0,0,0,45,0,134,256,0,0,0,112,0,0,0,395,0,0,0,14,0,0,0,86,0,0,0,53,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,253,0,0,432,0,0,0,48,285,0,0,43,56,28,178,35,0,0,0,0,61,0,14,0,621,0,0,0,0
7,301,0,0,0,0,0,0,38,0,0,0,0,64,273,339,0,0,0,37,59,0,0,347,0,0,0,0,0,0,0,11,0,38,0,0,0,0,79,0,0,0,0,0,22,0,0,0,59,176,74,0,569,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,614,0,0,1978,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,25,0,0,0,0,113,0,0,0,290,0,0,0,39,0,0,0,0,0,35,172,0,0,1704,0,0,0,146,608,0,0,0,0,0,0,10,0,0,95,0,0,0,0,0,0,0,0,0,0,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,272,0,0,42,91,0,26,0,0,0,387,0,0,0,0,0,0,0,0,0
9,29,0,0,138,0,30,1019,22,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,1345,456,0,0,110,0,0,118,27,38,0,0,0,0,117,0,0,178,0,0,0,0,0,0,0,250,0,0,0,263,0,58,34,0,0,0,0,0,0,0,24,0,0,0,12,0,188,0,407,22,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,455,0,0,0,0,155
